stub,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,n_rois,rois_per_nm2,rois_per_um2,mean_roi_area_nm2,summed_roi_area_nm2,summed_roi_area_um2,total_fenestration_area_nm2,total_fenestration_area_um2,porosity_fraction,porosity_percent
PR1_ME_09,3.684,445269,786432,0.5661888122558594,56.61888122558594,6043126.749264,6.043126749264,604,9.994825941282167e-05,99.94825941282167,1579.4584469403974,953992.901952,0.953992901952,953992.901952,0.953992901952,0.15786412258657126,15.786412258657126
FAS19_ME_20,3.665,439641,786432,0.5590324401855469,55.90324401855469,5905356.831225,5.905356831225,613,0.00010380405748873942,103.80405748873943,1518.7617405791193,931000.9469750001,0.9310009469750001,931000.9469750001,0.9310009469750001,0.15765363103077285,15.765363103077284
PR10_ME_28,3.652,378924,786432,0.4818267822265625,48.18267822265625,5053748.796096001,5.053748796096001,431,8.528322585660484e-05,85.28322585660483,1845.5643147656615,795438.2196640001,0.7954382196640001,795438.2196640001,0.7954382196640001,0.15739567828905004,15.739567828905004
PR6_ME_36,3.704,311582,786432,0.39619700113932294,39.619700113932296,4274785.392512001,4.274785392512001,499,0.00011673100616327585,116.73100616327585,1345.1547350701405,671232.2128000001,0.6712322128000001,671232.2128000001,0.6712322128000001,0.15702126567003227,15.702126567003226
PR14_ME_06,3.652,441809,786432,0.5617891947428385,56.17891947428385,5892452.581136001,5.892452581136001,418,7.09382034465883e-05,70.9382034465883,2213.4168458947374,925208.2415840002,0.9252082415840002,925208.2415840003,0.9252082415840003,0.15701581452618668,15.701581452618669
FAS24_ME_15,3.578,278948,786432,0.3547007242838542,35.47007242838542,3571115.7276319996,3.571115727632,390,0.00010920956634990048,109.20956634990047,1437.0175160717947,560436.831268,0.5604368312679999,560436.831268,0.5604368312679999,0.15693605976741185,15.693605976741184
PR5_ME_27,3.704,544384,786432,0.6922200520833334,69.22200520833334,7468739.436544001,7.468739436544001,654,8.756497740435627e-05,87.56497740435627,1792.0881284892969,1172025.6360320002,1.1720256360320003,1172025.6360320002,1.1720256360320003,0.15692415647778038,15.692415647778038
FAS24_ME_07,3.769,437498,786432,0.5563074747721354,55.63074747721354,6214817.026778,6.214817026778,622,0.0001000833970364641,100.0833970364641,1567.3400558006433,974885.5147080001,0.9748855147080001,974885.5147080001,0.9748855147080001,0.1568647170958496,15.686471709584959
FAS23_ME_14,3.735,420010,786432,0.5340703328450521,53.40703328450521,5859234.00225,5.85923400225,505,8.61887406794259e-05,86.1887406794259,1815.5734413861385,916864.5878999999,0.9168645878999999,916864.5878999999,0.9168645878999999,0.15648198852408274,15.648198852408274
PR10_ME_20,3.636,333612,786432,0.4242095947265625,42.42095947265625,4410516.111552,4.410516111552,383,8.683790973959906e-05,86.83790973959906,1798.3326386631854,688761.400608,0.688761400608,688761.400608,0.688761400608,0.1561634473580087,15.616344735800869
